Sender, Message
Abbott,"  Well Costello, I'm going to New York with you. You know, Bucky Harris, the Yank's manager gave me a job as coach for as long as you're on the team.", 3, 9
Costello,"  Look Abbott, if you're the coach, you must know all the players.",3, 9
Abbott,"  Right, certainly do.",3, 9
Costello,"  Well, I never met the guys, so you'll have to tell me their names, and then I'll know who's playing on the team.",3, 9
Abbott,"  Oh, I'll tell you their names, but you know strange as it may seem, they give these ball players now a days, very peculiar names.",3, 9
Costello,  You mean funny names?,3, 9
Abbott,"  Strange names, pet names. Like, Dizzy Dean, and'",3, 9
Costello,  His brother Daffy?,3, 9
Abbott,  Daffy Dean.,3, 9
Costello,  And their French cousin.,3, 9
Abbott,  French?,3, 9
Costello,  Goofe'.,3, 9
Abbott,"  Goofe' Dean, oh I see! Well let's see, we have on the bags, we have Who's on first, What's on second, and I Don't Know is on third.",3, 9
Costello,  That's what I want to find out.,3, 9
Abbott,"  I say, Who's on first, What's on second, and I Don't Know's on third.",3, 9
Costello,  Are you the manager?,3, 9
Abbott,  Yes.,3, 9
Costello,  You going to be the coach too?,3, 9
Abbott,  Yes.,3, 9
Costello,  And you don't  know the fellow's names?,3, 9
Abbott,  Well I should.,3, 9
Costello,  Well then who is on first?,3, 9
Abbott,  Yes.,3, 9
Costello,  I mean the fellow's name.,3, 9
Abbott,  Who.,3, 9
Costello,  The guy on first.,3, 9
Abbott,  Who.,3, 9
Costello,  The first baseman.,3, 9
Abbott,  Who!,3, 9
Costello,  The guy playing first base.,3, 9
Abbott,  Who is on first.,3, 9
Costello,  I'm asking you who's on first!,3, 9
Abbott,  That's the man's name.,3, 9
Costello,  That's whose name?,3, 9
Abbott,  Yeah.,3, 9
Costello,  Well go ahead and tell me.,3, 9
Abbott,  That's it.,3, 9
Costello,  That's who?,3, 9
Abbott,  Yeah.,3, 9
Costello,"  Look, you got a first baseman?",3, 9
Abbott,  Certainly.,3, 9
Costello,  Who's playing first?,3, 9
Abbott,  That's right.,3, 9
Costello,"  When you pay off the first baseman every month, who gets the money?",3, 9
Abbott,  Every dollar of it.,3, 9
Costello,  All I'm trying to find out is the fellow's name on first base.,3, 9
Abbott,  Who.,3, 9
Costello,  The guy that gets the money.,3, 9
Abbott,  That's it.,3, 9
Costello,  Who gets the money on first base?,3, 9
Abbott,"  He does, every dollar! Sometimes his wife comes down and collects it.",3, 9
Costello,  Whose wife?,3, 9
Abbott,  Yes. (Pause) What's wrong with that?,3, 9
Costello,"  Look, all I want to know is when you sign up the first baseman, how does he sign his name to the contract?",3, 9
Abbott,  Who.,3, 9
Costello,  The guy.,3, 9
Abbott,  Who.,3, 9
Costello,  How does he sign it?,3, 9
Abbott,  That's how he signs it!,3, 9
Costello,  Who?,3, 9
Abbott,  Yes.,3, 9
Costello,  All I'm trying to find out is what's the guy's name on first base.,3, 9
Abbott,"  No, what's on second base.",3, 9
Costello,  I'm not asking who's on second.,3, 9
Abbott,  Who is on first!,3, 9
Costello,  One base at a time!,3, 9
Abbott,  Well don't change the players around!,3, 9
Costello,  I'm not changing nobody!,3, 9
Abbott,"  Take it easy, buddy.",3, 9
Costello,"  All I'm asking you, who's the guy on first base?!",3, 9
Abbott,  That's right.,3, 9
Costello,  Okay.,3, 9
Abbott,  Alright.,3, 9
Costello,  What's the guy's name on first base?!,3, 9
Abbott,"  No, What is on second!",3, 9
Costello,  I'm not asking you who's on second!,3, 9
Abbott,  Who's on first.,3, 9
Costello,  I don't know.,3, 9
Abbott,"  Oh, he's on third. We're not talking about him. Now let's get back to first.",3, 9
Costello,  Now how did I get on third base?,3, 9
Abbott,  Well you mentioned his name.,3, 9
Costello,"  If I mentioned the third baseman's name, who did I say's playing third?",3, 9
Abbott,"  No, Who's playing first.",3, 9
Costello,  What's on first?,3, 9
Abbott,  What's on second.,3, 9
Costello,  I don't know.,3, 9
Abbott,  He's on third.,3, 9
Costello,"  There I go, back on third again! Will you stay on third base and don't go off it?",3, 9
Abbott,"  Alright, what do you want to know?",3, 9
Costello,  Now who's playing third base?!,3, 9
Abbott,  Why do you insist on putting Who on third base?,3, 9
Costello,  What am I putting on third?!,3, 9
Abbott,"  No, What is on second.",3, 9
Costello,  You don't want who on second?!,3, 9
Abbott,"  No, Who is on first.",3, 9
Costello,  I don't know!,3, 9
Both, Third base!,3, 9
Costello,"  Look, you got outfield?",3, 9
Abbott,  Sure.,3, 9
Costello,  The left fielder's name?,3, 9
Abbott,  Why.,3, 9
Costello,  I just thought I'd ask you.,3, 9
Abbott,  Well I just thought I'd tell you.,3, 9
Costello,  Then tell me who is playing left field.,3, 9
Abbott,  Who is playing first.,3, 9
Costello,"  I'm not'Stay out of the infield! I want to know, what's the guy's name in left field?",3, 9
Abbott,"  No, What is on second.",3, 9
Costello,  I'm not asking who's on second.,3, 9
Abbott,"  No, Who is on first.",3, 9
Costello,  I don't know.,3, 9
Both,  Third base!,3, 9
Costello,  And left fielder's name?,3, 9
Abbott,  Why!,3, 9
Costello,  Because.,3, 9
Abbott,"  No, he's center field.",3, 9
Costello,  (Fumbles words loudly),3, 9
Abbott,  Well that's the fellow's name.,3, 9
Costello,"  Look, look, look, you got a pitcher?",3, 9
